email_preview,score,grade,tone,politeness,pa,sarcasm,urgency,risk_count
"Frank, Did you receive the information about the San Marcos apartments. I have l",80,Acceptable,professional,polite,passive_aggressive,neutral,low,1
Questions about 12/29 rentroll: There were two deposits that were not labeled. O,70,Acceptable,professional,impolite,neutral,neutral,high,0
cannot open this file. Please send in different format,100,Excellent,professional,polite,neutral,neutral,low,0
I can't open a winmail.dat file. can you send in a different format,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 01/02/2001 09:34 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 12/29/2000 10:13 ,100,Excellent,professional,polite,neutral,neutral,low,0
Trading Profits P. Allen 200 M. Grigsby 463 Rest of Desk 282 Total 945 I view my,96,Excellent,professional,polite,neutral,neutral,high,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 12/28/2000 09:50 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Gentlemen, I continue to speak to an attorney for help with the investment struc",94,Excellent,professional,polite,neutral,neutral,high,0
"Jim, I would appreciate your help in locating financing for the project I descri",80,Acceptable,professional,polite,passive_aggressive,neutral,medium,1
"Jeff, Everything should be done for closing on the Leander deal on the 29th. I h",100,Excellent,professional,polite,neutral,neutral,medium,0
"Steve, I am sending you a variety of charts with prices and operational detail. ",100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, Here is a rentroll for this week. The one you sent for 11/24 looked good. ",100,Excellent,professional,polite,neutral,neutral,medium,0
Monique Sanchez Jay Reitmeyer Randy Gay Matt Lenhart,75,Acceptable,professional,impolite,neutral,neutral,low,0
"John, Here is our North of Stanfield forecast for Jan. Supply Jan '01 Dec '00 Ja",100,Excellent,professional,polite,neutral,neutral,low,0
Please assign global id's to the four junior traders listed on Dawn's original e,100,Excellent,professional,polite,neutral,neutral,low,0
Received the fax. Thank you. I might have to sell the QQQ and take the loss for ,100,Excellent,professional,polite,neutral,neutral,low,0
PLEASE APPROVE HIM FOR THIS. PHILLIP WILL NOT BE ABLE TO GET INTO HIS EMAIL SYST,100,Excellent,professional,polite,neutral,neutral,low,0
"George & Larry, If possible, I would like to get together in Columbus as Larry s",100,Excellent,professional,polite,neutral,neutral,medium,0
"Jeff, Hear is a new NOI file. I have added an operating statement for 1999 (part",100,Excellent,professional,polite,neutral,neutral,medium,0
"Jeff, The files attached contain a current rentroll, 2000 operating statement, a",100,Excellent,professional,polite,neutral,neutral,low,0
Yes. Trading reports to Whalley. He is Lavorato's boss.,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/07/2001 11:22 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 11/29/2000 10:01 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Larry, 10 AM tomorrow is good for me. If you want to email me anything tonight, ",100,Excellent,professional,polite,neutral,neutral,medium,0
"Lucy, I want to get the lease data and tenant data updated. The critical informa",90,Excellent,professional,polite,neutral,neutral,high,0
"Lucy, Here is a new file for 12/15. For the rentroll for 12/08 here are my quest",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 12/14/2000 11:15 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 12/14/2000 10:06 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 11/28/2000 05:48 ,100,Excellent,professional,polite,neutral,neutral,low,0
"George, I received the drawings. They look good at first glance. I will look at ",100,Excellent,professional,polite,neutral,neutral,medium,0
